_id,名称,产国,大类,类型
1,苏-27战斗机,苏/俄,飞行器,战斗机
2,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏/俄,飞行器,战斗机
3,歼-31战斗机,中国,飞行器,战斗机
4,FC-1“枭龙”/JF-17“雷电”多用途攻击机,中国,飞行器,战斗机
5,F-35“闪电II”,美国,飞行器,战斗机
6,F-16“战隼”,美国,飞行器,战斗机
7,歼-20战斗机,中国,飞行器,战斗机
8,歼-11战斗机,中国,飞行器,战斗机
9,LCA战斗机,印度,飞行器,战斗机
10,F-15鹰式战斗机,美国,飞行器,战斗机
11,麦克唐纳F-15E“打击鹰” 双座双发打击战斗机,美国,飞行器,战斗机
12,歼-16战机,中国,飞行器,战斗机
13,AMX攻击战斗机,巴西,飞行器,战斗机
14,歼-7型战斗机,中国,飞行器,战斗机
15,P-39“空中眼镜蛇”,美国,飞行器,战斗机
16,“鹰”200轻型多用途战斗机,英国,飞行器,战斗机
17,XP-26“玩具枪”单座单翼战斗机,美国,飞行器,战斗机
18,P-51A,美国,飞行器,战斗机
19,波音PW-9单座单发双翼战斗机,美国,飞行器,战斗机
20,F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,美国,飞行器,战斗机
21,波音FB-1,美国,飞行器,战斗机
22,SE 5a/E战斗机,美国,飞行器,战斗机
23,P-59“空中彗星”战斗机,美国,飞行器,战斗机
24,贝尔P-63“眼镜蛇王”单翼战斗机,美国,飞行器,战斗机
25,苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机,苏/俄,飞行器,战斗机
26,EF2000“台风”战斗机,英国,飞行器,战斗机
27,波音F4B-1战斗机,美国,飞行器,战斗机
28,“幻影”2000防空／多用途战斗机,法国,飞行器,战斗机
29,幻影F1战斗机,法国,飞行器,战斗机
30,“幻影”Ⅲ/5/50喷气战斗机,法国,飞行器,战斗机
31,阵风战斗机,法国,飞行器,战斗机
32,波音F2B-1战斗机,美国,飞行器,战斗机
33,“幻影”2000D/N攻击机,法国,飞行器,战斗机
34,F9F战斗机,美国,飞行器,战斗机
35,EMB-314M（A-29）“超巨嘴鸟” ,巴西,飞行器,战斗机
36,歼-10战斗机,中国,飞行器,战斗机
37,F/A-18A-D“大黄蜂”,美国,飞行器,战斗机
38,F3D/F-10“空中骑士”,美国,飞行器,战斗机
39,F-80/TO/TV“流星”喷射战斗机,美国,飞行器,战斗机
40,F9F-9“美洲狮”轰炸机,美国,飞行器,战斗机
41,FD/FH“鬼怪”,美国,飞行器,战斗机
42,洛克希德F-104“星战斗机”,美国,飞行器,战斗机
43,F-117“夜鹰”,美国,飞行器,战斗机
44,F-100“超佩刀” 战斗轰炸机,美国,飞行器,战斗机
45,F4D/F-6“天光”战斗机,美国,飞行器,战斗机
46,F-94“星火”战斗机,美国,飞行器,战斗机
47,F-14“雄猫”战斗机,美国,飞行器,战斗机
48,"F11F/F-11'“虎""",美国,飞行器,战斗机
49,F-15A-D“鹰”,美国,飞行器,战斗机
50,F-22“猛禽”战斗机,美国,飞行器,战斗机
51,F-86D/K/L “佩刀猛犬”,美国,飞行器,战斗机
52,F2H/F-2“女妖”,美国,飞行器,战斗机
53,F-82“双野马”,美国,飞行器,战斗机
54,FJ/F-1“狂怒”,美国,飞行器,战斗机
55,F7U“弯刀”,美国,飞行器,战斗机
56,F/RF/86A-H “佩刀”,美国,飞行器,战斗机
57,F3H/F-3“恶魔”,美国,飞行器,战斗机
58,F/RF-101E“魔术师”,美国,飞行器,战斗机
59,L-17/U-18“纳维翁” 联络机/通用机,美国,飞行器,战斗机
60,F-4“鬼怪Ⅱ”,美国,飞行器,战斗机
61,F8U/F-8“十字军战士”,美国,飞行器,战斗机
62,FR“火球”,美国,飞行器,战斗机
63,F6F“泼妇”,美国,飞行器,战斗机
64,F-5E“虎II”,美国,飞行器,战斗机
65,F/RF-84F“雷电”,美国,飞行器,战斗机
66,F-105“雷公”战斗轰炸机,美国,飞行器,战斗机
67,F-84“雷电喷气”,美国,飞行器,战斗机
68,P-40“战斧”,美国,飞行器,战斗机
69,P-40 “战鹰/小鹰”,美国,飞行器,战斗机
70,F-5A/B“自由战士,美国,飞行器,战斗机
71,F6U“海盗船”,美国,飞行器,战斗机
72,F-89“蝎子”,美国,飞行器,战斗机
73,格鲁曼FF/SF,美国,飞行器,战斗机
74,P-35A,美国,飞行器,战斗机
75,P-61“黑寡妇”战斗机,美国,飞行器,战斗机
76,P-51B/C“野马”,美国,飞行器,战斗机
77,F-106“三角标枪”截击机,美国,飞行器,战斗机
78,P-38“闪电”,美国,飞行器,战斗机
79,F4U/FG-1“海盗”,美国,飞行器,战斗机
80,F-102“三角剑”截击战斗机,美国,飞行器,战斗机
81,F7F“虎猫”战斗机,美国,飞行器,战斗机
82,P-47“雷电”战斗机,美国,飞行器,战斗机
83,P-51D/K“野马”,美国,飞行器,战斗机
84,F4F/FM“野猫”战斗机,美国,飞行器,战斗机
85,共和43“长矛”,美国,飞行器,战斗机
86,AT-12“卫兵”,美国,飞行器,战斗机
87,格鲁曼F2F/F3F,美国,飞行器,战斗机
88,NA-50/-68和P-64,美国,飞行器,战斗机
89,苏-35/苏-37“侧卫-E”  全天候防空战斗机,苏/俄,飞行器,战斗机
90,歼-7系列战斗机,中国,飞行器,战斗机
91,歼-8系列战斗机,中国,飞行器,战斗机
92,歼-5战斗机,中国,飞行器,战斗机
93,米格-29“支点”战斗机,苏/俄,飞行器,战斗机
94,MB-3,美国,飞行器,战斗机
95,苏-24“击剑手”战斗轰炸机,苏/俄,飞行器,战斗机
96,歼-6系列战斗机,中国,飞行器,战斗机
97,歼-9战斗机,中国,飞行器,战斗机
98,苏-25改进型/苏-25TM/苏-39,苏/俄,飞行器,战斗机
99,J-10B战斗机,中国,飞行器,战斗机
100,歼-7B/M型 战斗机,中国,飞行器,战斗机
101,FW-190“百舌鸟”战斗机,德国,飞行器,战斗机
102,歼-15战斗机,中国,飞行器,战斗机
103,歼-12战斗机,中国,飞行器,战斗机
104,ME-109战斗机,德国,飞行器,战斗机
105,米格-25战斗机,苏/俄,飞行器,战斗机
106,T-50战斗机,苏/俄,飞行器,战斗机
107,歼-11B战斗机 ,中国,飞行器,战斗机
108,歼-11BS战斗机 ,中国,飞行器,战斗机
109,XF-88战斗机,美国,飞行器,战斗机
110,J7W1震电战斗机,日本,飞行器,战斗机
111,Ki-45屠龙/2式复座战斗机 ,日本,飞行器,战斗机
112,Ar 68战斗机,德国,飞行器,战斗机
113,J6K1 阵风 陆上战斗机,日本,飞行器,战斗机
114,J1N1/2式夜间战斗机,日本,飞行器,战斗机
115,J2M雷电局地战斗机,日本,飞行器,战斗机
116,信天翁D．Ⅲ,德国,飞行器,战斗机
117,A2N/90式舰上战斗机,日本,飞行器,战斗机
118,Hs 124战斗机,德国,飞行器,战斗机
119,J8M1秋水局地战斗机 ,日本,飞行器,战斗机
120,A6M2-N/二式水上战斗机,日本,飞行器,战斗机
121,Me 263战斗机,德国,飞行器,战斗机
122,1MF/10式舰上战斗机,日本,飞行器,战斗机
123,Bf 108台风式飞机,德国,飞行器,战斗机
124,He100战斗机,德国,飞行器,战斗机
125,Ki-201火龙战斗机,日本,飞行器,战斗机
126,Ki-43隼/1式,日本,飞行器,战斗机
127,He 219夜枭战斗机,德国,飞行器,战斗机
128,Ho 229战斗机,德国,飞行器,战斗机
129,J.I攻击机,德国,飞行器,战斗机
130,He 51战斗机,德国,飞行器,战斗机
131,92式战斗机,日本,飞行器,战斗机
132,Ki-49吞龙轰炸机,日本,飞行器,战斗机
133,S1A电光Denko夜间战斗机,日本,飞行器,战斗机
134,Ta 152战斗机,德国,飞行器,战斗机
135,J5N天雷双发重型战斗机,日本,飞行器,战斗机
136,Me P.1101战斗机,德国,飞行器,战斗机
137,Me 209战斗机,德国,飞行器,战斗机
138,斯帕德S．Ⅶ,法国,飞行器,战斗机
139,Me 210战斗机,德国,飞行器,战斗机
140,J4M·极电（闪电）局地战斗机,日本,飞行器,战斗机
141,ATD-X心神试验机,日本,飞行器,战斗机
142,Me-262战斗机,德国,飞行器,战斗机
143,A7M烈风战斗机,日本,飞行器,战斗机
144,F-2战斗机,日本,飞行器,战斗机
145,A1N三式舰上战斗机,日本,飞行器,战斗机
146,MXY-7樱花特别攻击机,日本,飞行器,战斗机
147,脉冲喷射发动机推进式自杀攻击机,日本,飞行器,战斗机
148,He 112战斗机,德国,飞行器,战斗机
149,NE-12B橘花攻击机,日本,飞行器,战斗机
150,狂风战斗机,英国,飞行器,战斗机
151,A6M零式战机,日本,飞行器,战斗机
152, N1K1-J 紫电局地战斗机,日本,飞行器,战斗机
153, A5M/96式舰载战斗机,日本,飞行器,战斗机
154,Ta 183战斗机,德国,飞行器,战斗机
155,F-15J战斗机,日本,飞行器,战斗机
156,N1K4-J紫电改三二型试作机,日本,飞行器,战斗机
157,Ki-44钟馗/2式单座战斗机,日本,飞行器,战斗机
158,Me 265战斗机,德国,飞行器,战斗机
159,89式舰上攻击机,日本,飞行器,战斗机
160,Ki-61飞燕/三式战斗机,日本,飞行器,战斗机
161,F-1战斗机,日本,飞行器,战斗机
162,Ki-60试作战斗机,日本,飞行器,战斗机
163,F-16XL战隼战斗机,美国,飞行器,战斗机
164,Ki-27/97式战斗机,日本,飞行器,战斗机
165,Me 329战斗机,德国,飞行器,战斗机
166,Ki-64试作战斗机,日本,飞行器,战斗机
167,九试单座战斗机,日本,飞行器,战斗机
168,1MF10 七试舰上战斗机,日本,飞行器,战斗机
169,Ki-84疾风/四式战斗机,日本,飞行器,战斗机
170,Ki-83远距离战斗机,日本,飞行器,战斗机
171,J1N1-S月光夜间战斗机 ,日本,飞行器,战斗机
172,Ki-94-1高高度战斗机,日本,飞行器,战斗机
173,雅克-38战斗机,苏/俄,飞行器,战斗机
174,Ki-93试作袭击机,日本,飞行器,战斗机
175,米格-1战斗机,苏/俄,飞行器,战斗机
176,雅克-25战斗机,苏/俄,飞行器,战斗机
177,Ki-87试作高高度战斗机,日本,飞行器,战斗机
178,Ki-96试作双发战斗机,日本,飞行器,战斗机
179,Ki-94-2高高度战斗机,日本,飞行器,战斗机
180,Ki-98试作战斗袭击机,日本,飞行器,战斗机
181,Ki-108试作高高度战斗机,日本,飞行器,战斗机
182,Ki-100/五式战斗机,日本,飞行器,战斗机
183,Ki-102/四式战斗袭击机,日本,飞行器,战斗机
184,Ki-109试作特殊防空战斗机,日本,飞行器,战斗机
185,喷火战斗机（Spitfire）,英国,飞行器,战斗机
186,P1Y2-S/极光夜间战斗机,日本,飞行器,战斗机
187,13试双发陆上战斗机,日本,飞行器,战斗机
188,Ki-10/95式战斗机,日本,飞行器,战斗机
189,F4U 海盗式战斗机,美国,飞行器,战斗机
190,雅克-28战斗机,苏/俄,飞行器,战斗机
191,雅克-15战斗机,苏/俄,飞行器,战斗机
192,“管鼻燕”式舰载战斗机,英国,飞行器,战斗机
193,CR.32战斗机,意大利,飞行器,战斗机
194,狂怒(Hawker Fury)战斗机,英国,飞行器,战斗机
195,Gamecock“斗鸡”式战斗机,英国,飞行器,战斗机
196,CW-21战斗机,美国,飞行器,战斗机
197,大鹏战斗机（Roc）,英国,飞行器,战斗机
198,萤火虫舰载战斗机（Fairey  Firefly）,英国,飞行器,战斗机
199,弯刀战斗机（Scimitar）,英国,飞行器,战斗机
200,雅克-141战斗机,苏/俄,飞行器,战斗机
201,无畏式战斗机（Defiant）,英国,飞行器,战斗机
202,苍穹(Westland Welkin)战斗机,英国,飞行器,战斗机
203,B7A流星舰上攻击机,日本,飞行器,战斗机
204,Gloster Meteor“流星”战斗机,英国,飞行器,战斗机
205,蚋式（Folland Gnat）教练/战斗机,英国,飞行器,战斗机
206,飓风战斗机（Hurricane),英国,飞行器,战斗机
207,骆驼战斗机（Sopwith Camel）,英国,飞行器,战斗机
208,德哈维兰大黄蜂（Hornet）战斗机,英国,飞行器,战斗机
209,B-24“贼鸥”（Skua）式战斗轰炸机,英国,飞行器,战斗机
210,鹰-75战斗机,美国,飞行器,战斗机
211,英俊战士（Beaufighter）重型战斗机,英国,飞行器,战斗机
212,暴风式(Tempest)战斗机,英国,飞行器,战斗机
213,莽汉战斗机（Hotspur）,英国,飞行器,战斗机
214,雅克-1战斗机,苏/俄,飞行器,战斗机
215,海怒战斗机（Hawker Sea Fury）,英国,飞行器,战斗机
216,雅克-3战斗机,苏/俄,飞行器,战斗机
217,Bf 110铁面战斗机,德国,飞行器,战斗机
218,雅克-7战斗机,苏/俄,飞行器,战斗机
219,雅克-17战斗机,苏/俄,飞行器,战斗机
220,Re.2000战斗机,意大利,飞行器,战斗机
221,雅克-23战斗机,苏/俄,飞行器,战斗机
222,雅克-9战斗机,苏/俄,飞行器,战斗机
223,伊-15战斗机,苏/俄,飞行器,战斗机
224,福克E．Ⅲ战斗机,德国,飞行器,战斗机
225,Me 163战斗机,德国,飞行器,战斗机
226,Dr.I战斗机,德国,飞行器,战斗机
227,Me 410大黄蜂战斗机,德国,飞行器,战斗机
228,福克D.VII战斗机,德国,飞行器,战斗机
229,雅克-38战斗机,苏/俄,飞行器,战斗机
230,伊尔-10攻击机,苏/俄,飞行器,战斗机
231,Re.2002战斗机,意大利,飞行器,战斗机
232,米格-35战斗机 ,苏/俄,飞行器,战斗机
233,Re.2005战斗机,意大利,飞行器,战斗机
234,Me 209-II战斗机,德国,飞行器,战斗机
235,AUT.18战斗机,意大利,飞行器,战斗机
236,米格-9,苏/俄,飞行器,战斗机
237,伊-16战斗机 ,苏/俄,飞行器,战斗机
238,米格-27/鞭挞者-D 战斗机,苏/俄,飞行器,战斗机
239,Re.2001战斗机,意大利,飞行器,战斗机
240,I-330/苏-1战斗机,苏/俄,飞行器,战斗机
241,CR.42-箭式战斗机,意大利,飞行器,战斗机
242,G.91战斗机,意大利,飞行器,战斗机
243,米格-3,苏/俄,飞行器,战斗机
244,G.50-箭式战斗机,意大利,飞行器,战斗机
245,G.55-人马座战斗机,意大利,飞行器,战斗机
246,米格-31战斗机,苏/俄,飞行器,战斗机
247,PZL P.1战斗机,波兰,飞行器,战斗机
248,He 162战斗机,德国,飞行器,战斗机
249,PZL P.6战斗机,波兰,飞行器,战斗机
250,PWS-10战斗机,波兰,飞行器,战斗机
251,CR.32-箭式战斗机,意大利,飞行器,战斗机
252,Ba.27战斗机,意大利,飞行器,战斗机
253,MC.205-雷电战斗机,意大利,飞行器,战斗机
254,PZL P.7战斗机,波兰,飞行器,战斗机
255,米格-21战斗机,苏/俄,飞行器,战斗机
256,米格-15战斗机,苏/俄,飞行器,战斗机
257,PZL P.11战斗机,波兰,飞行器,战斗机
258,米格-23战斗机,苏/俄,飞行器,战斗机
259,I-153“海鸥”战斗机,苏/俄,飞行器,战斗机
260,MC.200-雷电战斗机,意大利,飞行器,战斗机
261,米格-17战斗机,苏/俄,飞行器,战斗机
262,苏-37战斗机,苏/俄,飞行器,战斗机
263,MC.202-雷电战斗机,意大利,飞行器,战斗机
264,米格-19战斗机,苏/俄,飞行器,战斗机
265,PZL P.24战斗机,波兰,飞行器,战斗机
266,拉格-3战斗机,苏/俄,飞行器,战斗机
267,La-9战斗机,苏/俄,飞行器,战斗机
268,苏-47金雕式战斗机,苏/俄,飞行器,战斗机
269,纽堡17战斗机,法国,飞行器,战斗机
270,La-11战斗机,苏/俄,飞行器,战斗机
271,I-270战斗机,苏/俄,飞行器,战斗机
272,苏-17攻击机,苏/俄,飞行器,战斗机
273,苏-15战斗机,苏/俄,飞行器,战斗机
274,拉-5战斗机,苏/俄,飞行器,战斗机
275,拉-7战斗机,苏/俄,飞行器,战斗机
276,拉格-1战斗机,苏/俄,飞行器,战斗机
277,CL-1200/X-27枪骑兵,美国,飞行器,战斗机
278,纽波特17战斗机,法国,飞行器,战斗机
279,斯帕德VII战斗机,法国,飞行器,战斗机
280,AMCA战斗机,印度,飞行器,战斗机
281,F-20虎鲨战斗机,美国,飞行器,战斗机
282,霍克II战斗机,美国,飞行器,战斗机
283,F-15SE沉默鹰式战斗机,美国,飞行器,战斗机
284,幻影4000战斗机,法国,飞行器,战斗机
285,F-19战斗机,美国,飞行器,战斗机
286,F-21幼狮战斗机,以色列,飞行器,战斗机
287,F2A水牛战斗机,美国,飞行器,战斗机
288,KF-X战斗机,韩国,飞行器,战斗机
289,YF-17战斗机,美国,飞行器,战斗机
290,XF-85小鬼式战斗机,美国,飞行器,战斗机
291,YF-23战斗机,美国,飞行器,战斗机
292,米格-1.44战斗机,苏/俄,飞行器,战斗机
293,P-43枪骑兵战斗机,美国,飞行器,战斗机
294,XF-108轻剑战斗机,美国,飞行器,战斗机
295,P-36战斗机,美国,飞行器,战斗机
296,XF13C战斗机,美国,飞行器,战斗机
297,JAS 39鹰狮战斗机,瑞典,飞行器,战斗机
298,XF-103战斗机,美国,飞行器,战斗机
299,F9C战斗机,美国,飞行器,战斗机
300,P-26战斗机,美国,飞行器,战斗机
301,F-CK-1经国号战斗机,中国,飞行器,战斗机
302,F-15 S/MTD试验机,美国,飞行器,战斗机
303,Saab-35龙战斗机,瑞典,飞行器,战斗机
304,YF-12战斗机,美国,飞行器,战斗机
305,里尔35,美国,飞行器,战斗机
306,XF5F战斗机,美国,飞行器,战斗机
307,IDF战斗机,中国,飞行器,战斗机
308,X-35验证机,美国,飞行器,战斗机
309,A4D和A/TA-4“天鹰”,美国,飞行器,攻击机
310,超级军旗攻击机,法国,飞行器,攻击机
311,A-5/RA-5“民团团员” 轰炸机/侦察机,美国,飞行器,攻击机
312,英国航宇 FRS.51喷气式战斗攻击机,英国,飞行器,攻击机
313,A-10“雷电II”,美国,飞行器,攻击机
314,AM“拳师”攻击机,美国,飞行器,攻击机
315,AJ/A-2“野人”,美国,飞行器,攻击机
316,OV-10“野马” 空中前进控制机/近距离空中支援机,美国,飞行器,攻击机
317,AU-24“公马”攻击机,美国,飞行器,攻击机
318,AD/A-1“空中袭击者”,美国,飞行器,攻击机
319,A-6“入侵者”攻击机,美国,飞行器,攻击机
320,沃特(N-G)A-7“海盗Ⅱ”,美国,飞行器,攻击机
321,AT-3高级教练/轻攻击机,中国,飞行器,攻击机
322,G4M/一式陆上攻击机,日本,飞行器,攻击机
323,B5M/97式2号舰上攻击机,日本,飞行器,攻击机
324,13式舰上攻击机,日本,飞行器,攻击机
325, B5N/97式1号舰上攻击机,日本,飞行器,攻击机
326,B7A流星舰上攻击机,日本,飞行器,攻击机
327,夕号试作特殊攻击机,日本,飞行器,攻击机
328,A-17/A-33,美国,飞行器,攻击机
329,Hs 129攻击机,德国,飞行器,攻击机
330,Ki-115甲剑特殊攻击机,日本,飞行器,攻击机
331,M6A1 晴岚攻击机,日本,飞行器,攻击机
332,神龙特殊攻击机,日本,飞行器,攻击机
333,AV-8海鹞II式攻击机,英国,飞行器,攻击机
334,JH-7/FBC-1/歼轰-7/飞豹,中国,飞行器,攻击机
335,强-5/番摊（Fantan),中国,飞行器,攻击机
336,美洲虎攻击机,英国,飞行器,攻击机
337,苏-25攻击机,苏/俄,飞行器,攻击机
338,A-37蜻蜓式攻击机,美国,飞行器,攻击机
339,伊尔-2攻击机,苏/俄,飞行器,攻击机
340,B-52H远程轰炸机,美国,飞行器,轰炸机
341,波音B-29“超级空中堡垒”,美国,飞行器,轰炸机
342,寇蒂斯H-12/16,美国,飞行器,轰炸机
343,图-22M“逆火 MRA轰炸机和电子战飞机,苏/俄,飞行器,轰炸机
344,西飞轰-6中型轰炸机,中国,飞行器,轰炸机
345,寇蒂斯R系列鱼雷轰炸机,美国,飞行器,轰炸机
346,B/RB-47“同温层喷射”,美国,飞行器,轰炸机
347,波音B-17单翼重型轰炸机,美国,飞行器,轰炸机
348,SB2A“海盗”侦察轰炸机,美国,飞行器,轰炸机
349,波音B-9单翼轰炸机,美国,飞行器,轰炸机
350,图-95/图-142“熊” 远程轰炸机和海上侦察攻击机,苏/俄,飞行器,轰炸机
351,A3D/A-3“空中战士”,美国,飞行器,轰炸机
352,B-2“幽灵” 战略轰炸机,美国,飞行器,轰炸机
353,SB2C“地狱俯冲者”,美国,飞行器,轰炸机
354,PB4Y-2“私掠船”,美国,飞行器,轰炸机
355,F8F“熊猫”战斗轰炸机,美国,飞行器,轰炸机
356,F/FB/EF-111战斗轰炸机,美国,飞行器,轰炸机
357,B-57“堪培拉”,美国,飞行器,轰炸机
358,TBY/TBU“海狼”,美国,飞行器,轰炸机
359,B-32“统治者”,美国,飞行器,轰炸机
360,“堪培拉” 轰炸机/入侵飞机/侦察机,英国,飞行器,轰炸机
361,图-160“海盗旗” 远程轰炸机,苏/俄,飞行器,轰炸机
362,SBD“无畏式”,美国,飞行器,轰炸机
363,B-45“龙卷风”,美国,飞行器,轰炸机
364,PBM“水手”,美国,飞行器,轰炸机
365,B-26/JM“劫掠者”,美国,飞行器,轰炸机
366,A/B-26/JD“入侵者”,美国,飞行器,轰炸机
367,A-20“浩劫”,美国,飞行器,轰炸机
368,TBF/TBM“复仇者”,美国,飞行器,轰炸机
369,B-34/37和PV“文图拉”/“捕鲸叉” ,美国,飞行器,轰炸机
370,B-1B“枪骑兵”,美国,飞行器,轰炸机
371,BTD “毁灭者”,美国,飞行器,轰炸机
372,SBU,美国,飞行器,轰炸机
373,B-24“解放者”,美国,飞行器,轰炸机
374,B-25/PBJ“米切尔”,美国,飞行器,轰炸机
375,B/KB-50“超级堡垒”,美国,飞行器,轰炸机
376,B-36“和平卫士”,美国,飞行器,轰炸机
377,B-10/12/14,美国,飞行器,轰炸机
378,B-66“破坏者”,美国,飞行器,轰炸机
379,SB2U“辩护者”,美国,飞行器,轰炸机
380,MB-2/NBS-1,美国,飞行器,轰炸机
381,B-23“龙”,美国,飞行器,轰炸机
382,F-51D“野马”MK2 ,美国,飞行器,轰炸机
383,马丁BM,美国,飞行器,轰炸机
384,A-31/35“复仇者”,美国,飞行器,轰炸机
385,凯斯通轻型轰炸机系列,美国,飞行器,轰炸机
386,B-58“盗贼”,美国,飞行器,轰炸机
387,诺思罗普BT,美国,飞行器,轰炸机
388,Do 335箭式战斗机,德国,飞行器,轰炸机
389,D4Y彗星舰载俯冲轰炸机,日本,飞行器,轰炸机
390,Bf 162轰炸机,德国,飞行器,轰炸机
391,Ar 234闪电式轰炸机,德国,飞行器,轰炸机
392,G5N深山/13试陆基轰炸机,日本,飞行器,轰炸机
393,He 115水上轰炸机,德国,飞行器,轰炸机
394,Fi 167鱼雷轰炸机,德国,飞行器,轰炸机
395,R.VI轰炸机,德国,飞行器,轰炸机
396,Do 17轰炸机,德国,飞行器,轰炸机
397,G3M/九六式陆上攻击机,日本,飞行器,轰炸机
398,大湖BG-1,美国,飞行器,轰炸机
399,Do 217轰炸机,德国,飞行器,轰炸机
400,He 118俯冲轰炸机,德国,飞行器,轰炸机
401,Ju 290轰炸机,德国,飞行器,轰炸机
402,Hs 132轰炸机,德国,飞行器,轰炸机
403,D1A九四/九六式俯冲轰炸机,日本,飞行器,轰炸机
404,Ju 87斯图卡俯冲轰炸机,德国,飞行器,轰炸机
405,He 111轰炸机,德国,飞行器,轰炸机
406,Ju 188轰炸机,德国,飞行器,轰炸机
407,Me 264轰炸机,德国,飞行器,轰炸机
408,He 177鹰狮式轰炸机,德国,飞行器,轰炸机
409,G8N连山重轰炸机,日本,飞行器,轰炸机
410,Ju 88轰炸机,德国,飞行器,轰炸机
411,Ju 89轰炸机,德国,飞行器,轰炸机
412,G10N富士山轰炸机,日本,飞行器,轰炸机
413,D3A“99”式舰载俯冲轰炸机,日本,飞行器,轰炸机
414,Ki-66试作急降下爆撃机,日本,飞行器,轰炸机
415,Ki-67飞龙/四式重爆撃机 ,日本,飞行器,轰炸机
416,Ki-48/99式双发轻爆击机,日本,飞行器,轰炸机
417,Ki-77长距离研究机 ,日本,飞行器,轰炸机
418,P1Y 银河轰炸机,日本,飞行器,轰炸机
419,Ki-21/97式重爆击机,日本,飞行器,轰炸机
420,Ki-51/九九式袭撃机,日本,飞行器,轰炸机
421,乌拉尔轰炸机,德国,飞行器,轰炸机
422,B6N天山舰上攻击机,日本,飞行器,轰炸机
423,Ki-91试作远距离爆撃机,日本,飞行器,轰炸机
424,Ki-30/97式俯冲轰炸机,日本,飞行器,轰炸机
425,A-16俯冲轰炸机,美国,飞行器,轰炸机
426,Ki-32/98式俯冲轰炸机,日本,飞行器,轰炸机
427,DH98蚊式（Mosquito）轰炸机,英国,飞行器,轰炸机
428,巴特尔（Fairey Battle）轰炸机,英国,飞行器,轰炸机
429,阿米奥-143（Amiot-143）轰炸机,法国,飞行器,轰炸机
430,阿米奥-354(Amiot-354)轰炸机,法国,飞行器,轰炸机
431,阿米奥-340（Amiot-340）轰炸机,法国,飞行器,轰炸机
432,A-12俯冲轰炸机,美国,飞行器,轰炸机
433,BF2C单发单座双翼战斗机,美国,飞行器,轰炸机
434,哈利法克斯轰炸机,英国,飞行器,轰炸机
435,TSR-2轰炸机,英国,飞行器,轰炸机
436,布里斯托“波弗特”式鱼雷轰炸机,英国,飞行器,轰炸机
437,“火神”轰炸机,英国,飞行器,轰炸机
438,梭鱼式(Barracuda)鱼雷轰炸机,英国,飞行器,轰炸机
439,阿佛罗兰卡斯特重型轰炸机,英国,飞行器,轰炸机
440,维克斯威灵顿式中型轰炸机,英国,飞行器,轰炸机
441,肖特斯特林（Short Stirling）轰炸机,英国,飞行器,轰炸机
442,曼彻斯特（Manchester）轰炸机,英国,飞行器,轰炸机
443,强-6,中国,飞行器,轰炸机
444,F-107终极佩刀战斗机,美国,飞行器,轰炸机
445,“胜利者”中程战略轰略机,英国,飞行器,轰炸机
446,剑鱼式鱼雷轰炸机（Swordfish）,英国,飞行器,轰炸机
447,“布伦海姆”轻型轰炸机,英国,飞行器,轰炸机
448,雅克-2 轰炸机,苏/俄,飞行器,轰炸机
449,PZL.38轰炸机,波兰,飞行器,轰炸机
450,PZL.37轰炸机,波兰,飞行器,轰炸机
451,Ca.3 轰炸机,意大利,飞行器,轰炸机
452,Ca.4轰炸机,意大利,飞行器,轰炸机
453,BR.20轰炸机,意大利,飞行器,轰炸机
454,雅克-6双引擎多用途飞机,苏/俄,飞行器,轰炸机
455,Ca.90轰炸机,意大利,飞行器,轰炸机
456,PZL.23轰炸机,波兰,飞行器,轰炸机
457,PWS-19轰炸机,波兰,飞行器,轰炸机
458,PZL.30轰炸机,波兰,飞行器,轰炸机
459,CANT Z.1007-翠鸟轰炸机,意大利,飞行器,轰炸机
460,M-50野蛮人轰炸机,苏/俄,飞行器,轰炸机
461,佩-2轻轰炸机,苏/俄,飞行器,轰炸机
462,PZL.43轰炸机,波兰,飞行器,轰炸机
463,图-4公牛轰炸机,苏/俄,飞行器,轰炸机
464,幻影IV轰炸机,法国,飞行器,轰炸机
465,雅克-4 型侦察/轰炸机,苏/俄,飞行器,轰炸机
466,阿米奥-350轰炸机,法国,飞行器,轰炸机
467,图-2/ANT-50轰炸机,苏/俄,飞行器,轰炸机
468,苏-34/鸭嘴兽战斗轰炸机,苏/俄,飞行器,轰炸机
469,PZL.46轰炸机,波兰,飞行器,轰炸机
470,Pe-8/TB-7重型轰炸机,苏/俄,飞行器,轰炸机
471,图-119轰炸机,苏/俄,飞行器,轰炸机
472,伊尔-28战术轰炸机,苏/俄,飞行器,轰炸机
473,水轰-5水上反潜轰炸机,中国,飞行器,轰炸机
474,B-18轰炸机,美国,飞行器,轰炸机
475,轰-5轰炸机,中国,飞行器,轰炸机
476,K-7巨型轰炸机,苏/俄,飞行器,轰炸机
477,苏-7/装配匠-A战斗轰炸机,苏/俄,飞行器,轰炸机
478,SB轰炸机,苏/俄,飞行器,轰炸机
479,伊尔-4/Il-4/DB-3轰炸机,苏/俄,飞行器,轰炸机
480,SBC俯冲轰炸机,美国,飞行器,轰炸机
